batch,strength,pack,attribute,temp_c,rh,time,value
B1,50 mg,P30,Assay,40,75,0,100.13967706965046
B1,50 mg,P30,Assay,40,75,0.5,99.41814000023903
B1,50 mg,P30,Assay,40,75,1,99.07736396727019
B1,50 mg,P30,Assay,40,75,2,98.16523760763346
B1,50 mg,P30,Assay,40,75,3,97.74393081656532
B1,50 mg,P30,Assay,40,75,6,95.10345037154056
B1,50 mg,P30,Assay,50,75,0,100.03178052867918
B1,50 mg,P30,Assay,50,75,0.5,99.07372619819431
B1,50 mg,P30,Assay,50,75,1,97.89302546304796
B1,50 mg,P30,Assay,50,75,2,95.93977941798236
B1,50 mg,P30,Assay,50,75,3,93.71542799673622
B1,50 mg,P30,Assay,50,75,6,88.2349735378568
B1,50 mg,P30,Assay,60,75,0,99.98051367642965
B1,50 mg,P30,Assay,60,75,0.5,97.59240332505343
B1,50 mg,P30,Assay,60,75,1,95.28980884248463
B1,50 mg,P30,Assay,60,75,2,90.79909176616657
B1,50 mg,P30,Assay,60,75,3,86.73083848751428
B1,50 mg,P30,Assay,60,75,6,74.80179987671384
