batch,time,value,attribute,condition
B001,0.0,100.0178,Assay,25C_60RH
B001,3.0,99.3751,Assay,25C_60RH
B001,6.0,98.8096,Assay,25C_60RH
B001,9.0,98.1326,Assay,25C_60RH
B001,12.0,97.6997,Assay,25C_60RH
B001,18.0,96.3563,Assay,25C_60RH
B001,24.0,95.2089,Assay,25C_60RH
B002,0.0,99.9578,Assay,25C_60RH
B002,3.0,99.3952,Assay,25C_60RH
B002,6.0,98.9006,Assay,25C_60RH
B002,9.0,98.2016,Assay,25C_60RH
B002,12.0,97.5692,Assay,25C_60RH
B002,18.0,96.3412,Assay,25C_60RH
B002,24.0,95.2343,Assay,25C_60RH
B003,0.0,99.9913,Assay,25C_60RH
B003,3.0,99.3446,Assay,25C_60RH
B003,6.0,98.9078,Assay,25C_60RH
B003,9.0,98.198,Assay,25C_60RH
B003,12.0,97.5753,Assay,25C_60RH
B003,18.0,96.3601,Assay,25C_60RH
B003,24.0,95.2231,Assay,25C_60RH
B001,0.0,0.10089,Impurity,25C_60RH
B001,3.0,0.13475,Impurity,25C_60RH
B001,6.0,0.17248,Impurity,25C_60RH
B001,9.0,0.20463,Impurity,25C_60RH
B001,12.0,0.24898,Impurity,25C_60RH
B001,18.0,0.31381,Impurity,25C_60RH
B001,24.0,0.38845,Impurity,25C_60RH
B002,0.0,0.09789,Impurity,25C_60RH
B002,3.0,0.13576,Impurity,25C_60RH
B002,6.0,0.17703,Impurity,25C_60RH
B002,9.0,0.20808,Impurity,25C_60RH
B002,12.0,0.24246,Impurity,25C_60RH
B002,18.0,0.31306,Impurity,25C_60RH
B002,24.0,0.38972,Impurity,25C_60RH
B003,0.0,0.09956,Impurity,25C_60RH
B003,3.0,0.13323,Impurity,25C_60RH
B003,6.0,0.17739,Impurity,25C_60RH
B003,9.0,0.2079,Impurity,25C_60RH
B003,12.0,0.24276,Impurity,25C_60RH
B003,18.0,0.314,Impurity,25C_60RH
B003,24.0,0.38915,Impurity,25C_60RH
